TubeLabel,Experiment,hpe,Nom.NiCl2.Conc.,Rep,Date.Collected,X58_Ni_Conc_ug_l,X58_Ni_Conc_RSD,X60_Ni_Conc_ug_l,X60_Ni_Conc_RSD,ni60_mg_l,ni58_mg_L
1,omics,0,0,R3,09/11/24,2.617465545,5.654299712,3.002601055,11.94676561,0.003002601055,0.002617465545
2,omics,0,0,R4,09/19/24,1.806002672,4.272735591,1.937977541,8.901778113,0.001937977541,0.001806002672
3,omics,0,0,R5,09/24/24,1.193946722,11.12784046,1.368584186,7.394432181,0.001368584186,0.001193946722
4,omics,0,0,R6,09/24/24,0.9978351678,10.31894657,1.117491768,22.00801522,0.0011174917680000002,0.00099783516780000011
5,omics,0,0,R7,09/24/24,1.231913729,20.97075335,1.368580653,7.396399193,0.0013685806529999999,0.001231913729
6,omics,0,0,R8,09/27/24,1.533960261,3.762321451,1.665667887,25.31077986,0.001665667887,0.001533960261
7,omics,0,0,R9,10/01/24,12.29993826,2.328981322,11.67037036,1.221406316,0.01167037036,0.012299938259999999
8,omics,0,0,R10,10/08/24,2.416550679,17.24999619,2.436676208,23.41843011,0.002436676208,0.0024165506790000003
9,omics,0,0,R11,10/08/24,1.712685468,7.075883151,1.796528118,8.884986595,0.0017965281179999999,0.0017126854680000001
10,omics,0,0,R12,11/14/24,3.432117995,5.341270101,3.228919426,9.582676356,0.003228919426,0.003432117995
11,omics,0,100,R1,09/10/24,29044.11309,1.32245861,29055.22321,2.004410461,29.05522321,29.04411309
12,omics,0,100,R2,09/13/24,32840.42791,1.57498025,32588.09264,0.5250473686,32.58809264,32.840427909999995
13,omics,0,100,R4,09/18/24,34822.87126,1.2407818,34610.37276,1.814566744,34.61037276,34.82287126
14,omics,0,100,R5,09/28/24,37191.50155,0.4345782738,38228.6863,1.404983923,38.2286863,37.19150155
15,omics,0,100,R6,09/28/24,36175.20783,1.641203046,36314.12133,1.002266869,36.31412133,36.17520783
16,omics,0,100,R7,11/1/24,54455.46483,1.006078527,54440.02702,1.094111012,54.44002702,54.45546483
17,omics,0,100,R8,11/1/24,52297.19865,0.9563411685,52473.46661,0.3625637235,52.47346661,52.29719865
18,omics,0,100,R10,11/16/24,32861.34291,1.364854967,33301.28538,1.306906008,33.30128538,32.86134291
19,omics,0,100,R9,11/14/24,31646.67989,1.136826875,31579.87999,2.03911038,31.579879990000002,31.646679889999998
